#,X_C,X_N,X_U,Y_C,Y_N,Y_U
1,3,Y,Y,4,Y,Y
2,3,Y,Y,4,Y,Y
3,3,Y,Y,3,Y,Y
4,1,N,N,4,Y,Y
5,4,Y,Y,4,Y,Y
6,1,N,N,3,Y,Y
7,3,Y,Y,3,Y,Y
8,3,Y,Y,4,Y,Y
9,5,Y,Y,2,Y,N
10,4,Y,Y,3,Y,Y
11,2,N,N,3,Y,Y
12,1,N,N,4,Y,Y
13,1,N,N,3,Y,Y
14,4,Y,Y,4,Y,Y
15,3,Y,Y,4,Y,Y
16,3,Y,Y,4,Y,Y
17,1,N,N,3,Y,Y
18,4,Y,Y,4,Y,Y
19,4,Y,Y,3,Y,Y
20,3,Y,Y,4,Y,Y
21,3,Y,Y,3,Y,Y
22,1,N,N,3,Y,Y
23,3,Y,Y,4,Y,Y
24,4,Y,Y,3,Y,Y
25,3,Y,Y,3,Y,Y
26,4,Y,Y,4,Y,Y
27,1,N,N,4,Y,Y
28,4,Y,Y,3,Y,Y
29,4,Y,Y,4,Y,Y
30,1,N,N,4,Y,Y
31,1,N,N,3,Y,Y
32,3,Y,Y,4,Y,Y
33,3,Y,Y,4,Y,Y
34,4,Y,Y,3,Y,Y
35,3,Y,Y,4,Y,Y
36,1,N,N,4,Y,Y
37,1,N,N,3,Y,Y
38,2,N,N,4,Y,Y
39,4,Y,Y,1,N,N
40,1,N,N,3,Y,Y
41,4,Y,Y,4,Y,Y
42,4,Y,Y,4,Y,Y
43,4,Y,Y,4,Y,Y
44,4,Y,Y,2,N,N
45,3,Y,Y,3,Y,Y
46,1,N,N,4,Y,Y
47,4,Y,Y,3,Y,Y
48,1,N,N,3,Y,Y
49,1,N,N,4,Y,Y
50,3,Y,Y,4,Y,Y
