#,X_C,X_N,X_U,Y_C,Y_N,Y_U
1,4,N,N,1,N,N
2,4,Y,Y,4,Y,Y
3,4,N,N,4,N,N
4,1,N,N,4,Y,Y
5,4,Y,Y,1,N,N
6,1,N,N,4,Y,Y
7,4,Y,Y,4,Y,Y
8,2,N,N,4,Y,Y
9,5,Y,Y,5,Y,Y
10,4,Y,Y,4,N,N
11,4,Y,Y,2,N,N
12,1,N,N,4,Y,Y
13,1,N,N,5,Y,Y
14,4,Y,Y,4,Y,Y
15,4,N,N,4,N,N
16,4,N,N,4,Y,Y
17,1,N,N,4,Y,Y
18,4,Y,Y,4,Y,Y
19,4,N,N,4,N,N
20,4,N,N,4,Y,Y
21,4,N,N,4,N,N
22,1,N,N,1,N,N
23,4,N,N,1,N,N
24,4,Y,Y,4,N,N
25,4,Y,Y,4,Y,Y
26,5,Y,Y,5,Y,Y
27,3,N,N,3,N,N
28,4,Y,Y,4,Y,Y
29,4,Y,Y,4,Y,Y
30,1,N,N,4,Y,Y
31,1,N,N,4,Y,Y
32,1,N,N,4,Y,Y
33,2,N,Y,4,Y,Y
34,4,N,N,4,N,N
35,4,Y,Y,4,Y,Y
36,1,N,N,4,Y,Y
37,1,N,N,3,Y,Y
38,1,N,N,1,N,N
39,4,N,N,1,N,N
40,1,N,N,4,Y,Y
41,4,N,N,4,Y,Y
42,4,N,N,4,Y,Y
43,5,Y,Y,5,Y,Y
44,4,N,N,4,Y,Y
45,4,N,Y,4,Y,Y
46,1,N,N,4,Y,Y
47,4,Y,Y,4,Y,Y
48,1,N,N,4,Y,Y
49,1,N,N,4,Y,Y
50,4,N,N,4,N,N
