#,X_C,X_N,X_U,Y_C,Y_N,Y_U
1,2,N,N,3,Y,Y
2,4,Y,Y,3,N,Y
3,4,Y,Y,2,N,N
4,1,N,N,4,Y,Y
5,4,Y,Y,3,Y,Y
6,1,N,N,3,Y,Y
7,4,Y,Y,4,Y,Y
8,1,N,N,4,Y,Y
9,4,Y,Y,4,Y,Y
10,4,Y,Y,1,N,N
11,3,Y,Y,3,Y,Y
12,1,N,N,4,Y,Y
13,1,N,N,4,Y,Y
14,4,Y,Y,4,Y,Y
15,2,N,N,3,Y,Y
16,4,Y,Y,4,Y,Y
17,1,N,N,4,Y,Y
18,4,Y,Y,4,Y,Y
19,2,N,N,3,Y,Y
20,3,Y,Y,3,Y,Y
21,3,Y,Y,1,N,N
22,1,N,N,1,N,N
23,3,Y,Y,2,N,N
24,4,Y,Y,4,Y,Y
25,4,Y,Y,4,Y,Y
26,4,Y,Y,4,Y,Y
27,1,N,N,2,N,N
28,4,Y,Y,4,Y,Y
29,4,Y,Y,2,N,N
30,1,N,N,4,Y,Y
31,1,N,N,4,Y,Y
32,1,N,N,4,Y,Y
33,4,Y,Y,4,Y,Y
34,3,Y,Y,3,Y,Y
35,4,Y,Y,4,Y,Y
36,1,N,N,2,N,N
37,1,N,N,2,Y,N
38,1,N,N,2,N,N
39,3,Y,Y,1,N,N
40,1,N,N,4,Y,Y
41,3,Y,Y,4,Y,Y
42,3,Y,Y,4,Y,Y
43,5,Y,Y,3,Y,Y
44,5,Y,Y,2,N,N
45,4,Y,Y,2,N,N
46,1,N,N,3,Y,Y
47,4,Y,Y,3,Y,Y
48,1,N,N,3,Y,Y
49,1,N,N,4,Y,Y
50,3,Y,Y,4,Y,Y
