Channel,Accepted,Total,Acceptance_Rate,Wilson_CI_lo,Wilson_CI_hi,Fisher_OR,Fisher_p_raw,Fisher_p_holm,Cohen_h,Significance
Baseline,124,274,0.4526,0.3947,0.5117,—,—,—,—,—
Full Pipeline,181,331,0.5468,0.4930,0.5996,1.46,0.0129,0.0258,0.1888,*
A-GitHub,57,87,0.6552,0.5506,0.7466,2.298,0.0007,0.0021,0.4106,**
B-NHTSA,86,128,0.6719,0.5866,0.7472,2.477,0.0000,0.0000,0.4459,***
C-<SIG>,38,116,0.3276,0.2489,0.4173,0.589,0.9922,0.9922,-0.2570,ns
