Comparison,k_treatment,n_treatment,k_baseline,n_baseline,OR,p_raw_one_sided,p_holm_corrected,Cohen_h
Full Pipeline,143,215,75,158,2.198,0.0002,0.0006,0.3872
A-<SIG>,57,87,75,158,2.103,0.0048,0.0048,0.3662
B-NHTSA,86,128,75,158,2.266,0.0006,0.0012,0.4016
